ip,time,request,status,size,referer,user_agent
192.168.1.101,2024-11-30 10:17:45+00:00,POST /login HTTP/1.1,401,512,http://example.com/login,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
172.16.0.3,2024-11-30 10:20:10+00:00,GET /dashboard HTTP/1.1,200,2048,-,Mozilla/5.0 (Linux; Android 10)
192.168.1.101,2024-12-08 12:41:55+00:00,POST /login HTTP/1.1,201,4002,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
192.168.1.101,2024-12-08 01:38:55+00:00,POST /login HTTP/1.1,200,4326,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
172.16.0.3,2024-12-08 18:08:55+00:00,POST /login HTTP/1.1,400,2875,-,Mozilla/5.0 (iPhone; CPU iPhone OS 15_1)
192.168.1.101,2024-12-08 10:32:55+00:00,PUT /profile HTTP/1.1,400,4431,-,Mozilla/5.0 (iPad; CPU OS 15_2)
172.16.0.3,2024-12-08 12:54:55+00:00,GET /login HTTP/1.1,403,3537,-,Mozilla/5.0 (iPhone; CPU iPhone OS 15_1)
172.16.0.3,2024-12-08 14:41:55+00:00,GET /dashboard HTTP/1.1,400,1826,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
172.16.0.3,2024-12-08 21:39:55+00:00,GET /login HTTP/1.1,500,4148,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
172.16.0.3,2024-12-08 02:05:55+00:00,GET /api/data HTTP/1.1,500,3345,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
172.16.0.3,2024-12-08 13:11:55+00:00,POST /admin HTTP/1.1,404,4292,-,Mozilla/5.0 (Linux; Android 10)
192.168.1.101,2024-12-08 13:15:55+00:00,POST /dashboard HTTP/1.1,403,4589,-,Mozilla/5.0 (iPhone; CPU iPhone OS 15_1)
192.168.1.101,2024-12-08 20:23:55+00:00,POST /settings HTTP/1.1,200,1165,-,Mozilla/5.0 (Linux; Android 10)
192.168.1.101,2024-12-08 03:05:55+00:00,PUT /dashboard HTTP/1.1,201,838,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
192.168.1.101,2024-12-08 20:56:55+00:00,POST /login HTTP/1.1,400,4314,-,Mozilla/5.0 (iPad; CPU OS 15_2)
172.16.0.3,2024-12-08 19:21:55+00:00,GET /login HTTP/1.1,500,2427,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
172.16.0.3,2024-12-08 18:20:55+00:00,GET /login HTTP/1.1,403,1305,-,Mozilla/5.0 (iPad; CPU OS 15_2)
172.16.0.3,2024-12-08 03:11:55+00:00,DELETE /profile HTTP/1.1,201,122,-,Mozilla/5.0 (Linux; Android 10)
172.16.0.3,2024-12-08 12:28:55+00:00,DELETE /api/data HTTP/1.1,200,2002,-,Mozilla/5.0 (iPad; CPU OS 15_2)
192.168.1.101,2024-12-08 14:14:55+00:00,PUT /api/data HTTP/1.1,404,1487,-,Mozilla/5.0 (iPhone; CPU iPhone OS 15_1)
172.16.0.3,2024-12-08 04:14:55+00:00,PUT /admin HTTP/1.1,404,521,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
192.168.1.101,2024-12-08 05:24:55+00:00,PUT /index.html HTTP/1.1,201,4207,-,Mozilla/5.0 (iPad; CPU OS 15_2)
172.16.0.3,2024-12-08 01:54:55+00:00,POST /profile HTTP/1.1,401,3048,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
192.168.1.101,2024-12-08 13:19:55+00:00,POST /index.html HTTP/1.1,200,2478,-,Mozilla/5.0 (iPad; CPU OS 15_2)
172.16.0.3,2024-12-08 00:44:55+00:00,DELETE /dashboard HTTP/1.1,200,4193,-,Mozilla/5.0 (iPhone; CPU iPhone OS 15_1)
172.16.0.3,2024-12-08 03:37:55+00:00,GET /admin HTTP/1.1,401,1933,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
