source_ip,destination_ip,port,protocol,action
192.168.1.101,10.0.0.5,443,TCP,Deny
172.16.0.3,192.168.1.101,22,TCP,Deny
172.16.0.3,192.168.1.102,3306,TCP,Allow
192.168.1.101,192.168.1.101,8080,TCP,Deny
172.16.0.3,192.168.1.101,8080,UDP,Deny
192.168.1.101,192.168.1.102,22,UDP,Deny
172.16.0.3,192.168.1.102,8080,UDP,Allow
172.16.0.3,10.0.0.6,443,TCP,Deny
172.16.0.3,172.16.0.3,443,UDP,Deny
192.168.1.101,10.0.0.5,8080,UDP,Allow
192.168.1.101,10.0.0.5,80,TCP,Deny
172.16.0.3,192.168.1.101,80,TCP,Allow
192.168.1.101,192.168.1.101,3306,TCP,Deny
172.16.0.3,172.16.0.3,3306,UDP,Allow
172.16.0.3,172.16.0.3,3306,UDP,Allow
192.168.1.101,192.168.1.102,3306,UDP,Allow
172.16.0.3,10.0.0.6,3306,UDP,Deny
